,0
291,1104.9456751104444
292,4992.030665580416
293,23635.825699999696
294,482.5488899999764
295,2762.840000000084
296,-302.2348400000483
297,3955.702347142622
298,15182.265967143467
299,-6499.316550000338
300,2978.464949999936
301,11859.637262808392
302,-556.6286818902008
303,-8883.084087173687
304,12810.385239324998
305,23217.427119456697
306,-10426.24061595858
307,3890.9819877184927
308,2560.420806480339
309,13399.59625805798
310,-3975.4956563590094
311,-5928.247635432053
312,20011.464941665297
313,18268.59708653018
314,2155.194790382404
315,-15797.70646116999
316,18218.554150000447
317,12461.789339999668
318,14684.954551110044
319,1647.4681596637238
320,21913.209921440342
321,4247.061920288252
322,-23249.75658187247
323,12961.480025552213
324,10818.0295640158
325,1033.6218898801599
326,7505.9916199280415
327,21505.86167211202
328,12279.743267706595
329,-42605.49881542032
330,9437.255667298567
331,29930.70288999076
332,-40818.022730890894
333,27941.337560531218
334,-45933.62916689948
335,-17223.647790810093
336,-53648.58308905712
337,-33100.035039000446
338,77766.75575512927
339,-7443.59032712155
340,25337.15528893238
341,-21870.832937529543
342,-42482.03230722225
343,-1858.5402995785698
344,-19049.2223313367
345,-15702.216992375907
346,-55628.42413366353
347,23801.76586752478
348,-17215.74394920771
349,-2932.455804158468
350,-15901.319406534778
351,52647.43107306934
352,-19378.76390029723
353,-25056.21224059374
354,42782.4852997025
355,3019.344675248023
356,-59857.11720445566
357,-21095.073113256833
358,31120.98787992727
359,-7399.469735416817
360,54847.49360126443
361,2699.904747624183
362,-212.19226833991706
363,44197.56994796195
364,12425.245733923977
365,843.22451193491
366,7342.477079211036
367,6681.59782486828
368,-32627.14843237656
369,-535.5124119634274
370,-27157.880106300814
371,14409.375910252333
372,-8614.295208802912
373,-54622.03466205229
374,-14011.600245120237
375,217.07215985795483
376,-9979.084266254678
377,6949.398346696282
378,46766.899486521026
379,29086.961076183943
380,16856.295404572506
381,3789.560468643438
382,37569.78563479963
383,-4340.203358434141
384,-1053.52458404121
385,-51288.17680225009
386,9495.958216719097
387,25535.49721815926
388,-11259.915382421343
389,39197.36129186326
390,15614.082360035973
391,19471.62807220663
392,-14433.475667380495
393,104.2375659220852
394,-6820.05603324133
395,2810.699558077613
396,26634.97298085061
397,-5494.403086556587
398,2726.1794408457354
399,-2965.884612249909
400,5284.4676760530565
401,16046.301318276208
402,-4471.2480550585315
403,-45002.366529738996
404,-13324.34683116991
405,-2189.0562789470423
406,998.0343251172453
407,24135.983161871787
408,-2794.3786715960596
409,-16135.916890224675
410,-5981.663423096994
411,-15141.347537514986
412,-25263.967275934992
413,2448.6986992601305
414,-7498.690757706761
415,35803.28566610324
416,-31205.359643084696
417,7499.689688558225
418,50222.01418459462
419,5015.636129069142
420,21303.177244788036
421,-16872.90417011478
422,10217.508710682392
423,-5079.622352896724
424,5380.8867795318365
425,12684.60319106211
426,-14782.360978838988
427,10585.683338139905
428,903.1058491901495
429,7807.40356312017
430,34887.024673405336
431,10918.27482201811
432,-4154.730716601014
433,-8635.737172961235
434,37716.842051497195
435,-1522.9463269524276
436,3624.0687370928936
437,-7373.088061759714
438,-16186.12514300039
439,1236.9501219983213
440,-31417.85714635579
441,20073.936774281552
442,-2955.3049151450396
443,-2066.474197143689
444,17436.496546105715
445,-6304.17728775437
446,1382.3102436782792
447,15122.087230183417
448,7986.18718066602
449,-1119.8950678035617
450,10900.510677503422
451,-20748.89488915098
452,23985.48877305654
453,4163.549681039527
454,-13901.595755856484
455,9626.47027066932
456,5743.212957029929
457,-10461.761872689938
458,2858.8224718396086
459,10601.27936668857
460,7926.769160846015
461,17735.67875846103
462,-510.54421440768056
463,48811.26500312681
464,7633.960420995019
465,-3812.8825732669793
466,-14402.656822983641
467,8737.05229608179
468,1533.7693494737614
469,-25264.888919012854
470,4838.85061860038
471,-34896.63221416739
472,8278.944260000018
473,31891.833862295374
474,15737.860340459738
475,-6571.696300342213
476,-21156.518294954905
477,31482.434279084904
478,-16603.429329616018
479,475.8317363054957
480,5091.799809519667
481,44744.70260396367
482,16403.889983495697
483,5801.977803663118
484,-1146.0022017608862
485,12298.04589438159
486,-8042.671107590431
487,-4618.514776147669
488,5906.594677862478
489,9773.427354176063
490,334.0328797334805
491,3946.575406753691
492,-11826.010631967103
493,-8763.453261300689
494,-7021.6589867325965
495,16481.71867490583
496,-1803.6141858943738
497,-46.836390854325145
498,-5211.294563291362
499,-2972.404365349794
500,4988.315202745376
501,-4098.603827725397
502,1245.3822475904599
503,11721.149104761425
504,-15406.464807074517
505,16099.203429963673
506,-10513.829439898487
507,196.17737629194744
508,-8371.222327741096
509,12751.21687189024
510,-1806.3136880469974
511,-2129.632162196096
512,23463.099566556048
513,23518.516559070675
514,-11139.233639799291
515,-16358.636436369736
516,3825.465516024502
517,12609.588933945633
518,-8928.634812796256
519,6169.818032727111
520,387.0560707768891
521,-24401.56822344684
522,14227.639831915498
523,18821.982238166966
524,7292.412244167412
525,-967.8509479572531
526,7795.741200531134
527,11163.768394604325
