,0
409,1643077.0432761172
410,1626941.1263858925
411,1620959.4629627955
412,1605818.1154252805
413,1580554.1481493455
414,1583002.8468486057
415,1575504.156090899
416,1611307.4417570021
417,1580102.0821139175
418,1587601.7718024757
419,1637823.7859870703
420,1642839.4221161394
421,1664142.5993609275
422,1647269.6951908127
423,1657487.203901495
424,1652407.5815485984
425,1657788.4683281302
426,1670473.0715191923
427,1655690.7105403533
428,1666276.3938784932
429,1667179.4997276834
430,1674986.9032908035
431,1709873.9279642089
432,1720792.202786227
433,1716637.472069626
434,1708001.7348966647
435,1745718.576948162
436,1744195.6306212095
437,1747819.6993583024
438,1740446.6112965427
439,1724260.4861535423
440,1725497.4362755406
441,1694079.5791291848
442,1714153.5159034664
443,1711198.2109883213
444,1709131.7367911777
445,1726568.2333372834
446,1720264.056049529
447,1721646.3662932073
448,1736768.4535233907
449,1744754.6407040567
450,1743634.7456362532
451,1754535.2563137566
452,1733786.3614246056
453,1757771.8501976621
454,1761935.3998787017
455,1748033.8041228452
456,1757660.2743935145
457,1763403.4873505444
458,1752941.7254778545
459,1755800.547949694
460,1766401.8273163827
461,1774328.5964772287
462,1792064.2752356897
463,1791553.731021282
464,1840364.9960244088
465,1847998.9564454039
466,1844186.0738721369
467,1829783.4170491532
468,1838520.469345235
469,1840054.2386947088
470,1814789.349775696
471,1819628.2003942963
472,1784731.568180129
473,1793010.512440129
474,1824902.3463024243
475,1840640.206642884
476,1834068.5103425418
477,1812911.992047587
478,1844394.4263266718
479,1827790.9969970558
480,1828266.8287333613
481,1833358.628542881
482,1878103.3311468447
483,1894507.2211303404
484,1900309.1989340035
485,1899163.1967322426
486,1911461.2426266242
487,1903418.5715190338
488,1898800.056742886
489,1904706.6514207486
490,1914480.0787749246
491,1914814.111654658
492,1918760.6870614118
493,1906934.6764294447
494,1898171.223168144
495,1891149.5641814114
496,1907631.2828563172
497,1905827.6686704229
498,1905780.8322795685
499,1900569.5377162772
500,1897597.1333509274
501,1902585.4485536728
502,1898486.8447259474
503,1899732.2269735378
504,1911453.3760782992
505,1896046.9112712247
506,1912146.1147011884
507,1901632.28526129
508,1901828.4626375819
509,1893457.2403098408
510,1906208.457181731
511,1904402.143493684
512,1902272.511331488
513,1925735.610898044
514,1949254.1274571146
515,1938114.8938173153
516,1921756.2573809456
517,1925581.72289697
518,1938191.3118309157
519,1929262.6770181195
520,1935432.4950508466
521,1935819.5511216235
522,1911417.9828981766
523,1925645.6227300921
524,1944467.604968259
525,1951760.0172124265
526,1950792.1662644693
527,1958587.9074650004
528,1969751.6758596047
529,1991911.3823688813
530,1988836.8957980925
531,2001873.3146472012
532,2023444.0475772014
533,2027352.3150385162
534,2015554.096886926
535,2026330.0139407516
536,2017869.0916201994
537,2034787.213038021
538,1999496.1742139035
539,1981402.8691314484
540,1982036.501101449
541,1983383.6647800205
542,2000774.626021403
543,1968859.857613634
